Country,Sex,Age_Category,Year,Predicted_Rate
Albania,Male,Children,2029,6.081090909
Algeria,Female,Youth,2025,50.68845455
Algeria,Female,Youth,2026,51.39113636
Algeria,Female,Youth,2027,52.09381818
Algeria,Female,Youth,2028,52.7965
Algeria,Female,Youth,2029,53.49918182
Algeria,Female,Adults,2025,21.33536364
Algeria,Female,Adults,2026,22.03195455
Algeria,Female,Adults,2027,22.72854545
Algeria,Female,Adults,2028,23.42513636
Algeria,Female,Adults,2029,24.12172727
Algeria,Female,Children,2025,23.9978
Algeria,Female,Children,2026,24.59114545
Algeria,Female,Children,2027,25.18449091
Algeria,Female,Children,2028,25.77783636
Algeria,Female,Children,2029,26.37118182
Algeria,Male,Youth,2025,30.36814545
Algeria,Male,Youth,2026,30.88342727
Algeria,Male,Youth,2027,31.39870909
Algeria,Male,Youth,2028,31.91399091
Algeria,Male,Youth,2029,32.42927273
Algeria,Male,Adults,2025,8.674327273
Algeria,Male,Adults,2026,8.8477
Algeria,Male,Adults,2027,9.021072727
Algeria,Male,Adults,2028,9.194445455
Algeria,Male,Adults,2029,9.367818182
Algeria,Male,Children,2025,10.90492727
Algeria,Male,Children,2026,11.04767273
Algeria,Male,Children,2027,11.19041818
Algeria,Male,Children,2028,11.33316364
Algeria,Male,Children,2029,11.47590909
Angola,Female,Youth,2025,23.49118182
Angola,Female,Youth,2026,22.41327273
Angola,Female,Youth,2027,21.33536364
Angola,Female,Youth,2028,20.25745455
Angola,Female,Youth,2029,19.17954545
Angola,Female,Adults,2025,11.00565455
Angola,Female,Adults,2026,10.89594545
Angola,Female,Adults,2027,10.78623636
Angola,Female,Adults,2028,10.67652727
Angola,Female,Adults,2029,10.56681818
Angola,Female,Children,2025,13.98170909
Angola,Female,Children,2026,13.60632727
Angola,Female,Children,2027,13.23094545
Angola,Female,Children,2028,12.85556364
Angola,Female,Children,2029,12.48018182
Angola,Male,Youth,2025,29.4162
Angola,Male,Youth,2026,28.7774
Angola,Male,Youth,2027,28.1386
Angola,Male,Youth,2028,27.4998
Angola,Male,Youth,2029,26.861
Angola,Male,Adults,2025,9.892418182
Angola,Male,Adults,2026,9.950063636
Angola,Male,Adults,2027,10.00770909
Angola,Male,Adults,2028,10.06535455
Angola,Male,Adults,2029,10.123
Angola,Male,Children,2025,14.65010909
Angola,Male,Children,2026,14.5134
Angola,Male,Children,2027,14.37669091
Angola,Male,Children,2028,14.23998182
Angola,Male,Children,2029,14.10327273
Argentina,Female,Youth,2025,23.4134
Argentina,Female,Youth,2026,23.11039091
Argentina,Female,Youth,2027,22.80738182
Argentina,Female,Youth,2028,22.50437273
Argentina,Female,Youth,2029,22.20136364
Argentina,Female,Adults,2025,6.765981818
Argentina,Female,Adults,2026,6.729827273
Argentina,Female,Adults,2027,6.693672727
Argentina,Female,Adults,2028,6.657518182
Argentina,Female,Adults,2029,6.621363636
Argentina,Female,Children,2025,8.643581818
Argentina,Female,Children,2026,8.538618182
Argentina,Female,Children,2027,8.433654545
Argentina,Female,Children,2028,8.328690909
Argentina,Female,Children,2029,8.223727273
Argentina,Male,Youth,2025,20.39249091
Argentina,Male,Youth,2026,20.4373
Argentina,Male,Youth,2027,20.48210909
Argentina,Male,Youth,2028,20.52691818
Argentina,Male,Youth,2029,20.57172727
Argentina,Male,Adults,2025,5.596527273
Argentina,Male,Adults,2026,5.599327273
Argentina,Male,Adults,2027,5.602127273
Argentina,Male,Adults,2028,5.604927273
Argentina,Male,Adults,2029,5.607727273
Argentina,Male,Children,2025,7.356418182
Argentina,Male,Children,2026,7.325745455
Argentina,Male,Children,2027,7.295072727
Argentina,Male,Children,2028,7.2644
Argentina,Male,Children,2029,7.233727273
Armenia,Female,Youth,2025,16.13614545
Armenia,Female,Youth,2026,15.14438182
Armenia,Female,Youth,2027,14.15261818
Armenia,Female,Youth,2028,13.16085455
Armenia,Female,Youth,2029,12.16909091
Armenia,Female,Adults,2025,4.821145455
Armenia,Female,Adults,2026,4.315881818
Armenia,Female,Adults,2027,3.810618182
Armenia,Female,Adults,2028,3.305354545
Armenia,Female,Adults,2029,2.800090909
Armenia,Female,Children,2025,5.504381818
Armenia,Female,Children,2026,4.881218182
Armenia,Female,Children,2027,4.258054545
Armenia,Female,Children,2028,3.634890909
Armenia,Female,Children,2029,3.011727273
Armenia,Male,Youth,2025,22.87265455
Armenia,Male,Youth,2026,22.90844545
Armenia,Male,Youth,2027,22.94423636
Armenia,Male,Youth,2028,22.98002727
Armenia,Male,Youth,2029,23.01581818
Armenia,Male,Adults,2025,10.20434545
Armenia,Male,Adults,2026,9.903554545
Armenia,Male,Adults,2027,9.602763636
Armenia,Male,Adults,2028,9.301972727
Armenia,Male,Adults,2029,9.001181818
Armenia,Male,Children,2025,11.33094545
Armenia,Male,Children,2026,11.01648182
Armenia,Male,Children,2027,10.70201818
Armenia,Male,Children,2028,10.38755455
Armenia,Male,Children,2029,10.07309091
Australia,Female,Youth,2025,7.403545455
Australia,Female,Youth,2026,6.911272727
Australia,Female,Youth,2027,6.419
Australia,Female,Youth,2028,5.926727273
Australia,Female,Youth,2029,5.434454545
Australia,Female,Adults,2025,2.865872727
Australia,Female,Adults,2026,2.665336364
Australia,Female,Adults,2027,2.4648
Australia,Female,Adults,2028,2.264263636
Australia,Female,Adults,2029,2.063727273
Australia,Female,Children,2025,3.535290909
Australia,Female,Children,2026,3.2704
Australia,Female,Children,2027,3.005509091
Australia,Female,Children,2028,2.740618182
Australia,Female,Children,2029,2.475727273
Australia,Male,Youth,2025,9.382872727
Australia,Male,Youth,2026,8.867154545
Australia,Male,Youth,2027,8.351436364
Australia,Male,Youth,2028,7.835718182
Australia,Male,Youth,2029,7.32
Australia,Male,Adults,2025,2.856690909
Australia,Male,Adults,2026,2.696518182
Australia,Male,Adults,2027,2.536345455
Australia,Male,Adults,2028,2.376172727
Australia,Male,Adults,2029,2.216
Australia,Male,Children,2025,3.780254545
Australia,Male,Children,2026,3.550236364
Australia,Male,Children,2027,3.320218182
Australia,Male,Children,2028,3.0902
Australia,Male,Children,2029,2.860181818
Austria,Female,Youth,2025,10.97550909
Austria,Female,Youth,2026,11.12260909
Austria,Female,Youth,2027,11.26970909
Austria,Female,Youth,2028,11.41680909
Austria,Female,Youth,2029,11.56390909
Austria,Female,Adults,2025,4.534781818
Austria,Female,Adults,2026,4.527563636
Austria,Female,Adults,2027,4.520345455
Austria,Female,Adults,2028,4.513127273
Austria,Female,Adults,2029,4.505909091
Austria,Female,Children,2025,5.199236364
Austria,Female,Children,2026,5.195881818
Austria,Female,Children,2027,5.192527273
Austria,Female,Children,2028,5.189172727
Austria,Female,Children,2029,5.185818182
Austria,Male,Youth,2025,10.43267273
Austria,Male,Youth,2026,10.35884545
Austria,Male,Youth,2027,10.28501818
Austria,Male,Youth,2028,10.21119091
Austria,Male,Youth,2029,10.13736364
Austria,Male,Adults,2025,4.809781818
Austria,Male,Adults,2026,4.776745455
Austria,Male,Adults,2027,4.743709091
Austria,Male,Adults,2028,4.710672727
Austria,Male,Adults,2029,4.677636364
Austria,Male,Children,2025,5.408890909
Austria,Male,Children,2026,5.360236364
Austria,Male,Children,2027,5.311581818
Austria,Male,Children,2028,5.262927273
Austria,Male,Children,2029,5.214272727
Azerbaijan,Female,Youth,2025,15.54398182
Azerbaijan,Female,Youth,2026,15.61532727
Azerbaijan,Female,Youth,2027,15.68667273
Azerbaijan,Female,Youth,2028,15.75801818
Azerbaijan,Female,Youth,2029,15.82936364
Azerbaijan,Female,Adults,2025,6.084527273
Azerbaijan,Female,Adults,2026,6.2321
Azerbaijan,Female,Adults,2027,6.379672727
Azerbaijan,Female,Adults,2028,6.527245455
Azerbaijan,Female,Adults,2029,6.674818182
Azerbaijan,Female,Children,2025,7.094727273
Azerbaijan,Female,Children,2026,7.217090909
Azerbaijan,Female,Children,2027,7.339454545
Azerbaijan,Female,Children,2028,7.461818182
Azerbaijan,Female,Children,2029,7.584181818
Azerbaijan,Male,Youth,2025,12.6366
Azerbaijan,Male,Youth,2026,12.83006364
Azerbaijan,Male,Youth,2027,13.02352727
Azerbaijan,Male,Youth,2028,13.21699091
Azerbaijan,Male,Youth,2029,13.41045455
Azerbaijan,Male,Adults,2025,4.266090909
Azerbaijan,Male,Adults,2026,4.386045455
Azerbaijan,Male,Adults,2027,4.506
Azerbaijan,Male,Adults,2028,4.625954545
Azerbaijan,Male,Adults,2029,4.745909091
Azerbaijan,Male,Children,2025,5.277109091
Azerbaijan,Male,Children,2026,5.395536364
Azerbaijan,Male,Children,2027,5.513963636
Azerbaijan,Male,Children,2028,5.632390909
Azerbaijan,Male,Children,2029,5.750818182
Bahamas,Female,Youth,2025,26.95387273
Bahamas,Female,Youth,2026,26.48460909
Bahamas,Female,Youth,2027,26.01534545
Bahamas,Female,Youth,2028,25.54608182
Bahamas,Female,Youth,2029,25.07681818
Bahamas,Female,Adults,2025,6.546218182
Bahamas,Female,Adults,2026,6.160163636
Bahamas,Female,Adults,2027,5.774109091
Bahamas,Female,Adults,2028,5.388054545
Bahamas,Female,Adults,2029,5.002
Bahamas,Female,Children,2025,8.655472727
Bahamas,Female,Children,2026,8.190172727
Bahamas,Female,Children,2027,7.724872727
Bahamas,Female,Children,2028,7.259572727
Bahamas,Female,Children,2029,6.794272727
Bahamas,Male,Youth,2025,22.91829091
Bahamas,Male,Youth,2026,22.97026364
Bahamas,Male,Youth,2027,23.02223636
Bahamas,Male,Youth,2028,23.07420909
Bahamas,Male,Youth,2029,23.12618182
Bahamas,Male,Adults,2025,7.287909091
Bahamas,Male,Adults,2026,7.138909091
Bahamas,Male,Adults,2027,6.989909091
Bahamas,Male,Adults,2028,6.840909091
Bahamas,Male,Adults,2029,6.691909091
Bahamas,Male,Children,2025,9.656363636
Bahamas,Male,Children,2026,9.490681818
Bahamas,Male,Children,2027,9.325
Bahamas,Male,Children,2028,9.159318182
Bahamas,Male,Children,2029,8.993636364
Bahrain,Female,Youth,2025,13.61994545
Bahrain,Female,Youth,2026,13.69625455
Bahrain,Female,Youth,2027,13.77256364
Bahrain,Female,Youth,2028,13.84887273
Bahrain,Female,Youth,2029,13.92518182
Bahrain,Female,Adults,2025,3.436327273
Bahrain,Female,Adults,2026,3.528836364
Bahrain,Female,Adults,2027,3.621345455
Bahrain,Female,Adults,2028,3.713854545
Bahrain,Female,Adults,2029,3.806363636
Bahrain,Female,Children,2025,4.502327273
Bahrain,Female,Children,2026,4.564245455
Bahrain,Female,Children,2027,4.626163636
Bahrain,Female,Children,2028,4.688081818
Bahrain,Female,Children,2029,4.75
Bahrain,Male,Youth,2025,2.876836364
Bahrain,Male,Youth,2026,2.8939
Bahrain,Male,Youth,2027,2.910963636
Bahrain,Male,Youth,2028,2.928027273
Bahrain,Male,Youth,2029,2.945090909
Bahrain,Male,Adults,2025,0.475636364
Bahrain,Male,Adults,2026,0.498863636
Bahrain,Male,Adults,2027,0.522090909
Bahrain,Male,Adults,2028,0.545318182
Bahrain,Male,Adults,2029,0.568545455
Bahrain,Male,Children,2025,0.627472727
Bahrain,Male,Children,2026,0.6424
Bahrain,Male,Children,2027,0.657327273
Bahrain,Male,Children,2028,0.672254545
Bahrain,Male,Children,2029,0.687181818
Bangladesh,Female,Youth,2025,19.36569091
Bangladesh,Female,Youth,2026,19.90183636
Bangladesh,Female,Youth,2027,20.43798182
Bangladesh,Female,Youth,2028,20.97412727
Bangladesh,Female,Youth,2029,21.51027273
Bangladesh,Female,Adults,2025,3.996945455
Bangladesh,Female,Adults,2026,3.840027273
Bangladesh,Female,Adults,2027,3.683109091
Bangladesh,Female,Adults,2028,3.526190909
Bangladesh,Female,Adults,2029,3.369272727
Bangladesh,Female,Children,2025,6.632381818
Bangladesh,Female,Children,2026,6.569581818
Bangladesh,Female,Children,2027,6.506781818
Bangladesh,Female,Children,2028,6.443981818
Bangladesh,Female,Children,2029,6.381181818
Bangladesh,Male,Youth,2025,10.97796364
Bangladesh,Male,Youth,2026,11.07429091
Bangladesh,Male,Youth,2027,11.17061818
Bangladesh,Male,Youth,2028,11.26694545
Bangladesh,Male,Youth,2029,11.36327273
Bangladesh,Male,Adults,2025,1.9508
Bangladesh,Male,Adults,2026,1.983281818
Bangladesh,Male,Adults,2027,2.015763636
Bangladesh,Male,Adults,2028,2.048245455
Bangladesh,Male,Adults,2029,2.080727273
Bangladesh,Male,Children,2025,3.451018182
Bangladesh,Male,Children,2026,3.468354545
Bangladesh,Male,Children,2027,3.485690909
Bangladesh,Male,Children,2028,3.503027273
Bangladesh,Male,Children,2029,3.520363636
Barbados,Female,Youth,2025,16.57270909
Barbados,Female,Youth,2026,15.20669091
Barbados,Female,Youth,2027,13.84067273
Barbados,Female,Youth,2028,12.47465455
Barbados,Female,Youth,2029,11.10863636
Barbados,Female,Adults,2025,4.866509091
Barbados,Female,Adults,2026,4.601336364
Barbados,Female,Adults,2027,4.336163636
Barbados,Female,Adults,2028,4.070990909
Barbados,Female,Adults,2029,3.805818182
Barbados,Female,Children,2025,5.9808
Barbados,Female,Children,2026,5.5816
Barbados,Female,Children,2027,5.1824
Barbados,Female,Children,2028,4.7832
Barbados,Female,Children,2029,4.384
Barbados,Male,Youth,2025,30.45176364
Barbados,Male,Youth,2026,30.76657273
Barbados,Male,Youth,2027,31.08138182
Barbados,Male,Youth,2028,31.39619091
Barbados,Male,Youth,2029,31.711
Barbados,Male,Adults,2025,6.353581818
Barbados,Male,Adults,2026,6.230663636
Barbados,Male,Adults,2027,6.107745455
Barbados,Male,Adults,2028,5.984827273
Barbados,Male,Adults,2029,5.861909091
Barbados,Male,Children,2025,9.097890909
Barbados,Male,Children,2026,9.015554545
Barbados,Male,Children,2027,8.933218182
Barbados,Male,Children,2028,8.850881818
Barbados,Male,Children,2029,8.768545455
Belarus,Female,Youth,2025,9.403527273
Belarus,Female,Youth,2026,9.508645455
Belarus,Female,Youth,2027,9.613763636
Belarus,Female,Youth,2028,9.718881818
Belarus,Female,Youth,2029,9.824
Belarus,Female,Adults,2025,1.905072727
Belarus,Female,Adults,2026,1.714418182
Belarus,Female,Adults,2027,1.523763636
Belarus,Female,Adults,2028,1.333109091
Belarus,Female,Adults,2029,1.142454545
Belarus,Female,Children,2025,2.440254545
Belarus,Female,Children,2026,2.263327273
Belarus,Female,Children,2027,2.0864
Belarus,Female,Children,2028,1.909472727
Belarus,Female,Children,2029,1.732545455
Belarus,Male,Youth,2025,10.80263636
Belarus,Male,Youth,2026,10.59436364
Belarus,Male,Youth,2027,10.38609091
Belarus,Male,Youth,2028,10.17781818
Belarus,Male,Youth,2029,9.969545455
Belarus,Male,Adults,2025,2.518
Belarus,Male,Adults,2026,2.087909091
Belarus,Male,Adults,2027,1.657818182
Belarus,Male,Adults,2028,1.227727273
Belarus,Male,Adults,2029,0.797636364
Belarus,Male,Children,2025,3.165709091
Belarus,Male,Children,2026,2.742054545
Belarus,Male,Children,2027,2.3184
Belarus,Male,Children,2028,1.894745455
Belarus,Male,Children,2029,1.471090909
Belgium,Female,Youth,2025,9.6086
Belgium,Female,Youth,2026,8.589745455
Belgium,Female,Youth,2027,7.570890909
Belgium,Female,Youth,2028,6.552036364
Belgium,Female,Youth,2029,5.533181818
Belgium,Female,Adults,2025,3.643381818
Belgium,Female,Adults,2026,3.366672727
Belgium,Female,Adults,2027,3.089963636
Belgium,Female,Adults,2028,2.813254545
Belgium,Female,Adults,2029,2.536545455
Belgium,Female,Children,2025,4.092745455
Belgium,Female,Children,2026,3.759763636
Belgium,Female,Children,2027,3.426781818
Belgium,Female,Children,2028,3.0938
Belgium,Female,Children,2029,2.760818182
Belgium,Male,Youth,2025,15.77938182
Belgium,Male,Youth,2026,15.20158182
Belgium,Male,Youth,2027,14.62378182
Belgium,Male,Youth,2028,14.04598182
Belgium,Male,Youth,2029,13.46818182
Belgium,Male,Adults,2025,4.089890909
Belgium,Male,Adults,2026,3.799009091
Belgium,Male,Adults,2027,3.508127273
Belgium,Male,Adults,2028,3.217245455
Belgium,Male,Adults,2029,2.926363636
Belgium,Male,Children,2025,4.969872727
Belgium,Male,Children,2026,4.652018182
Belgium,Male,Children,2027,4.334163636
Belgium,Male,Children,2028,4.016309091
Belgium,Male,Children,2029,3.698454545
Belize,Female,Youth,2025,27.99790909
Belize,Female,Youth,2026,27.97381818
Belize,Female,Youth,2027,27.94972727
Belize,Female,Youth,2028,27.92563636
Belize,Female,Youth,2029,27.90154545
Belize,Female,Adults,2025,10.45169091
Belize,Female,Adults,2026,10.70956364
Belize,Female,Adults,2027,10.96743636
Belize,Female,Adults,2028,11.22530909
Belize,Female,Adults,2029,11.48318182
Belize,Female,Children,2025,13.93632727
Belize,Female,Children,2026,14.11151818
Belize,Female,Children,2027,14.28670909
Belize,Female,Children,2028,14.4619
Belize,Female,Children,2029,14.63709091
Belize,Male,Youth,2025,13.12387273
Belize,Male,Youth,2026,13.26606364
Belize,Male,Youth,2027,13.40825455
Belize,Male,Youth,2028,13.55044545
Belize,Male,Youth,2029,13.69263636
Belize,Male,Adults,2025,4.336636364
Belize,Male,Adults,2026,4.457863636
Belize,Male,Adults,2027,4.579090909
Belize,Male,Adults,2028,4.700318182
Belize,Male,Adults,2029,4.821545455
Belize,Male,Children,2025,6.174836364
Belize,Male,Children,2026,6.281263636
Belize,Male,Children,2027,6.387690909
Belize,Male,Children,2028,6.494118182
Belize,Male,Children,2029,6.600545455
Benin,Female,Youth,2025,4.511109091
Benin,Female,Youth,2026,4.474036364
Benin,Female,Youth,2027,4.436963636
Benin,Female,Youth,2028,4.399890909
Benin,Female,Youth,2029,4.362818182
Benin,Female,Adults,2025,0.9732
Benin,Female,Adults,2026,0.944354545
Benin,Female,Adults,2027,0.915509091
Benin,Female,Adults,2028,0.886663636
Benin,Female,Adults,2029,0.857818182
Benin,Female,Children,2025,1.635763636
Benin,Female,Children,2026,1.596209091
Benin,Female,Children,2027,1.556654545
Benin,Female,Children,2028,1.5171
Benin,Female,Children,2029,1.477545455
Benin,Male,Youth,2025,2.899745455
Benin,Male,Youth,2026,2.813490909
Benin,Male,Youth,2027,2.727236364
Benin,Male,Youth,2028,2.640981818
Benin,Male,Youth,2029,2.554727273
Benin,Male,Adults,2025,0.834909091
Benin,Male,Adults,2026,0.8075
Benin,Male,Adults,2027,0.780090909
Benin,Male,Adults,2028,0.752681818
Benin,Male,Adults,2029,0.725272727
Benin,Male,Children,2025,1.132454545
Benin,Male,Children,2026,1.089818182
Benin,Male,Children,2027,1.047181818
Benin,Male,Children,2028,1.004545455
Benin,Male,Children,2029,0.961909091
Bhutan,Female,Youth,2025,36.21225455
Bhutan,Female,Youth,2026,38.80587273
Bhutan,Female,Youth,2027,41.39949091
Bhutan,Female,Youth,2028,43.99310909
Bhutan,Female,Youth,2029,46.58672727
Bhutan,Female,Adults,2025,5.654690909
Bhutan,Female,Adults,2026,6.048972727
Bhutan,Female,Adults,2027,6.443254545
Bhutan,Female,Adults,2028,6.837536364
Bhutan,Female,Adults,2029,7.231818182
Bhutan,Female,Children,2025,8.656581818
Bhutan,Female,Children,2026,9.214527273
Bhutan,Female,Children,2027,9.772472727
Bhutan,Female,Children,2028,10.33041818
Bhutan,Female,Children,2029,10.88836364
Bhutan,Male,Youth,2025,28.11950909
Bhutan,Male,Youth,2026,30.11838182
Bhutan,Male,Youth,2027,32.11725455
Bhutan,Male,Youth,2028,34.11612727
Bhutan,Male,Youth,2029,36.115
Bhutan,Male,Adults,2025,3.189854545
Bhutan,Male,Adults,2026,3.400436364
Bhutan,Male,Adults,2027,3.611018182
Bhutan,Male,Adults,2028,3.8216
Bhutan,Male,Adults,2029,4.032181818
Bhutan,Male,Children,2025,5.001345455
Bhutan,Male,Children,2026,5.306781818
Bhutan,Male,Children,2027,5.612218182
Bhutan,Male,Children,2028,5.917654545
Bhutan,Male,Children,2029,6.223090909
Bolivia,Female,Youth,2025,9.188872727
Bolivia,Female,Youth,2026,9.308063636
Bolivia,Female,Youth,2027,9.427254545
Bolivia,Female,Youth,2028,9.546445455
Bolivia,Female,Youth,2029,9.665636364
Bolivia,Female,Adults,2025,5.362345455
Bolivia,Female,Adults,2026,5.615054545
Bolivia,Female,Adults,2027,5.867763636
Bolivia,Female,Adults,2028,6.120472727
Bolivia,Female,Adults,2029,6.373181818
Bolivia,Female,Children,2025,6.034436364
Bolivia,Female,Children,2026,6.254145455
Bolivia,Female,Children,2027,6.473854545
Bolivia,Female,Children,2028,6.693563636
Bolivia,Female,Children,2029,6.913272727
Bolivia,Male,Youth,2025,8.761036364
Bolivia,Male,Youth,2026,9.069709091
Bolivia,Male,Youth,2027,9.378381818
Bolivia,Male,Youth,2028,9.687054545
Bolivia,Male,Youth,2029,9.995727273
Bolivia,Male,Adults,2025,3.691727273
Bolivia,Male,Adults,2026,3.857090909
Bolivia,Male,Adults,2027,4.022454545
Bolivia,Male,Adults,2028,4.187818182
Bolivia,Male,Adults,2029,4.353181818
Bolivia,Male,Children,2025,4.588163636
Bolivia,Male,Children,2026,4.768781818
Bolivia,Male,Children,2027,4.9494
Bolivia,Male,Children,2028,5.130018182
Bolivia,Male,Children,2029,5.310636364
Bosnia and Herzegovina,Female,Youth,2025,27.23361818
Bosnia and Herzegovina,Female,Youth,2026,23.89150909
Bosnia and Herzegovina,Female,Youth,2027,20.5494
Bosnia and Herzegovina,Female,Youth,2028,17.20729091
Bosnia and Herzegovina,Female,Youth,2029,13.86518182
Bosnia and Herzegovina,Female,Adults,2025,9.0784
Bosnia and Herzegovina,Female,Adults,2026,7.441254545
Bosnia and Herzegovina,Female,Adults,2027,5.804109091
Bosnia and Herzegovina,Female,Adults,2028,4.166963636
Bosnia and Herzegovina,Female,Adults,2029,2.529818182
Bosnia and Herzegovina,Female,Children,2025,10.06129091
Bosnia and Herzegovina,Female,Children,2026,8.185354545
Bosnia and Herzegovina,Female,Children,2027,6.309418182
Bosnia and Herzegovina,Female,Children,2028,4.433481818
Bosnia and Herzegovina,Female,Children,2029,2.557545455
Bosnia and Herzegovina,Male,Youth,2025,16.55009091
Bosnia and Herzegovina,Male,Youth,2026,12.76063636
Bosnia and Herzegovina,Male,Youth,2027,8.971181818
Bosnia and Herzegovina,Male,Youth,2028,5.181727273
Bosnia and Herzegovina,Male,Youth,2029,1.392272727
Bosnia and Herzegovina,Male,Adults,2025,5.387963636
Bosnia and Herzegovina,Male,Adults,2026,3.948609091
Bosnia and Herzegovina,Male,Adults,2027,2.509254545
Bosnia and Herzegovina,Male,Adults,2028,1.0699
Bosnia and Herzegovina,Male,Adults,2029,-0.369454545
Bosnia and Herzegovina,Male,Children,2025,6.046181818
Bosnia and Herzegovina,Male,Children,2026,4.318681818
Bosnia and Herzegovina,Male,Children,2027,2.591181818
Bosnia and Herzegovina,Male,Children,2028,0.863681818
Bosnia and Herzegovina,Male,Children,2029,-0.863818182
Botswana,Female,Youth,2025,51.61970909
Botswana,Female,Youth,2026,53.15655455
Botswana,Female,Youth,2027,54.6934
Botswana,Female,Youth,2028,56.23024545
Botswana,Female,Youth,2029,57.76709091
Botswana,Female,Adults,2025,22.52850909
Botswana,Female,Adults,2026,22.97101818
Botswana,Female,Adults,2027,23.41352727
Botswana,Female,Adults,2028,23.85603636
Botswana,Female,Adults,2029,24.29854545
Botswana,Female,Children,2025,26.81190909
Botswana,Female,Children,2026,27.38804545
Botswana,Female,Children,2027,27.96418182
Botswana,Female,Children,2028,28.54031818
Botswana,Female,Children,2029,29.11645455
Botswana,Male,Youth,2025,40.86905455
Botswana,Male,Youth,2026,41.6937
Botswana,Male,Youth,2027,42.51834545
Botswana,Male,Youth,2028,43.34299091
Botswana,Male,Youth,2029,44.16763636
Botswana,Male,Adults,2025,19.02476364
Botswana,Male,Adults,2026,19.62798182
Botswana,Male,Adults,2027,20.2312
Botswana,Male,Adults,2028,20.83441818
Botswana,Male,Adults,2029,21.43763636
Botswana,Male,Children,2025,22.47847273
Botswana,Male,Children,2026,23.07835455
Botswana,Male,Children,2027,23.67823636
Botswana,Male,Children,2028,24.27811818
Botswana,Male,Children,2029,24.878
Brazil,Female,Youth,2025,26.87074545
Brazil,Female,Youth,2026,26.71999091
Brazil,Female,Youth,2027,26.56923636
Brazil,Female,Youth,2028,26.41848182
Brazil,Female,Youth,2029,26.26772727
Brazil,Female,Adults,2025,9.872363636
Brazil,Female,Adults,2026,9.954454545
Brazil,Female,Adults,2027,10.03654545
Brazil,Female,Adults,2028,10.11863636
Brazil,Female,Adults,2029,10.20072727
Brazil,Female,Children,2025,12.58809091
Brazil,Female,Children,2026,12.58459091
Brazil,Female,Children,2027,12.58109091
Brazil,Female,Children,2028,12.57759091
Brazil,Female,Children,2029,12.57409091
Brazil,Male,Youth,2025,20.15658182
Brazil,Male,Youth,2026,20.1068
Brazil,Male,Youth,2027,20.05701818
Brazil,Male,Youth,2028,20.00723636
Brazil,Male,Youth,2029,19.95745455
Brazil,Male,Adults,2025,6.319145455
Brazil,Male,Adults,2026,6.298472727
Brazil,Male,Adults,2027,6.2778
Brazil,Male,Adults,2028,6.257127273
Brazil,Male,Adults,2029,6.236454545
Brazil,Male,Children,2025,8.504618182
Brazil,Male,Children,2026,8.441236364
Brazil,Male,Children,2027,8.377854545
Brazil,Male,Children,2028,8.314472727
Brazil,Male,Children,2029,8.251090909
